time,x ref,y ref,theta ref,v ref,omega ref
2.0806,6.64935,2.19227,0.327785,3.61832,-0.00582348,
2.08565,6.66669,2.19817,0.327755,3.62813,-0.00592635,
2.0907,6.68399,2.20405,0.327725,3.61846,-0.00599842,
2.09575,6.70128,2.20993,0.327694,3.6165,-0.00608404,
2.1008,6.71855,2.2158,0.327663,3.6106,-0.00616381,
2.10585,6.73584,2.22167,0.327632,3.61655,-0.00626478,
2.1109,6.75309,2.22753,0.3276,3.60672,-0.00633945,
2.11595,6.77032,2.23339,0.327567,3.60472,-0.00642863,
2.121,6.78755,2.23924,0.327534,3.60272,-0.00651876,
2.12605,6.80475,2.24509,0.327501,3.5967,-0.00660252,
2.1311,6.82197,2.25094,0.327467,3.60277,-0.00670955,
2.13615,6.83915,2.25677,0.327433,3.59274,-0.00678772,
2.1412,6.85632,2.2626,0.327398,3.59071,-0.00688186,
2.14625,6.87346,2.26843,0.327363,3.58458,-0.0069691,
2.1513,6.89063,2.27426,0.327327,3.59076,-0.00708142,
2.15635,6.90776,2.28007,0.327291,3.58056,-0.00716264,
2.1614,6.92487,2.28588,0.327254,3.57849,-0.00726103,
2.16645,6.94197,2.29168,0.327217,3.57641,-0.0073606,
